codigo_estacion,periodo_mensual,precipitacion
0026180180,2018-04,11.0
0026180180,2018-05,22.400000000000002
0026180180,2018-06,13.6
0026180180,2018-07,7.4
0026180180,2018-08,3.0
0026180180,2018-09,13.6
0026180180,2018-10,14.0
0026180180,2018-11,20.8
0026180180,2018-12,5.4
0026180180,2019-01,6.4
0026180180,2019-02,28.0
0026180180,2019-03,9.2
0026180180,2019-04,18.6
0026180180,2019-05,30.200000000000003
0026180180,2019-06,4.4
0026180180,2019-07,19.8
0026180180,2019-08,0.6000000000000001
0026185030,2017-06,0.1
0026185030,2017-10,13.1
0026185030,2017-11,23.0
0026185030,2017-12,15.5
0026185030,2018-01,14.2
0026185030,2018-02,2.8000000000000003
0026185030,2018-03,0.9
0026185030,2018-04,1.6
0026185030,2018-05,1.3
0026185030,2018-06,0.30000000000000004
0026185030,2018-07,1.1
0026185030,2018-08,1.6
0026185030,2018-09,1.2000000000000002
0026185030,2018-10,1.7000000000000002
0026185030,2018-11,0.6000000000000001
0026185030,2018-12,0.30000000000000004
0026185030,2019-03,0.30000000000000004
0026185030,2019-08,3.1
0026185050,2017-02,0.2
0026185050,2017-03,15.4
0026185050,2017-04,12.0
0026185050,2017-05,25.6
0026185050,2017-06,14.4
0026185050,2017-07,0.2
0026185050,2017-08,6.5
0026185050,2017-09,26.2
0026185050,2017-10,7.5
